Ses.	Dept. & Num.	Type	Sec.	Units	Code	Instructor	Day/Time	Location	Course Title
I	ART 9B	LEC	A	4.0	01010	Master	 	@ @	CULTURE DIVIDED (On-Line)
I	ART 65B	LEC	A	4.0	01070	Zang	 	@ @	FDNS INTERNET ART (On-Line)
I	DANCE 3	LEC	A	4.0	02010	Sharp	 	@ @	SCI CONCPTS HEALTH (On-Line)
I	DANCE 3	LEC	B	4.0	02020	Sharp	 	@ @	SCI CONCPTS HEALTH (On-Line)
I	DANCE 90A	LEC	A	4.0	02050	Cartagena	TuTh 1:00PM- 3:50PM	SST 220B	DANCE HISTORY I
I	DRAMA 15	LEC	A	4.0	03030	Reynolds	 	@ @	PERFORMANCE NOW (On-Line)
I	DRAMA 16	LEC	A	4.0	03040	Reynolds	 	@ @	PERFORMING CULTURE (On-Line)
I	DRAMA 20A	LEC	A	4.0	03050	Chu	 	@ @	CULTURE IN PERF (On-Line)
I	MUSIC 3	LEC	A	4.0	04010	Terricciano	 	@ @	INTRO TO MUSIC (On-Line)
I	MUSIC 3	LEC	B	4.0	04020	Terricciano	 	@ @	INTRO TO MUSIC (On-Line)
I	MUSIC 9	LEC	A	4.0	04050	Bauer	 	@ @	ROCK:EARLY YEARS (On-Line)
I	MUSIC 25A	LEC	A	4.0	04060	Lindsay	 	@ @	FUND OF MUSIC I (On-Line)
I	MUSIC 49	LEC	A	4.0	04080	Norfleet	 	@ @	HIST HIP HOP (On-Line)
I	BIO SCI 35	LEC	A	4.0	05020	Nicholas	MW 1:00PM- 3:50PM	SSL 270	BRAIN AND BEHAVIOR
I	BIO SCI 37	LEC	A	4.0	05040	Arguelles	MW 1:00PM- 3:50PM	DBH 1300	BRAIN DYSFUNCTION
I	BIO SCI 75	LEC	A	4.0	05080	Taagepera	 	@ @	HUMAN DEVELOPMENT (On-Line)
I	BIO SCI 97	LEC	A	4.0	05120	Bardwell	TuTh 5:00PM- 6:50PM	ON LINE	GENETICS (On-Line)
I	BIO SCI 98	LEC	A	4.0	05140	Seward Varela	MWF 9:00AM-10:50AM	DBH 1100	BIOCHEMISTRY
I	BIO SCI 98	LEC	B	4.0	05150	Seward Varela	MWF 11:00AM-12:50PM	DBH 1100	BIOCHEMISTRY
I	EDUC 40	LEC	A	4.0	12020	Wong	 	@ @	DEV LEARN IN EDUC (On-Line)
I	EDUC 50	LEC	A	4.0	12030	Vu	 	@ @	ISSUES IN K-12 EDUC (On-Line)
I	ENGR 30	LEC	A	4.0	13010	Sun	Tu 8:00PM- 9:50PM	ON LINE	STATICS (On-Line)
I	ENGR 80	LEC	A	4.0	13040	Fardadi	 	@ @	DYNAMICS (On-Line)
I	ENGRCEE 20	LEC	A	4.0	15420	Vrugt	MWF 9:00AM-10:50AM	ON LINE	INTRO COMP PROB SOL (On-Line)
I	ENGRCEE 30	LEC	A	4.0	15430	Sun	Tu 8:00PM- 9:50PM	ON LINE	STATICS (On-Line)
I	ENGRCEE 80	LEC	A	4.0	15450	Fardadi	 	@ @	DYNAMICS (On-Line)
I	EECS 12	LEC	A	4.0	16420	Dang	MW 8:00AM-10:50AM	ON LINE	INTRO PROGRAMMING (On-Line)
I	EECS 31	LEC	A	4.0	16440	Dang	TuTh 8:00AM-10:50AM	ON LINE	INTRO DIGITAL SYST (On-Line)
I	EECS 50	LEC	A	4.0	16460	Ebrahimi	TuTh 1:00PM- 3:50PM	MSTB 120	DISCR-TM SIGS/SYSTM
I	EECS 55	LEC	A	4.0	16470	Shen	TuTh 9:00AM-11:50AM	HH 143	ENGR PROBABILITY
I	EECS 70A	LEC	A	4.0	16480	Chaudhry	WF 3:00PM- 4:50PM	ON LINE	NETWORK ANALYSIS I (On-Line)
I	EECS 70B	LEC	A	4.0	16500	Al Jufout	MW 7:00PM- 9:50PM	PCB 1200	NETWORK ANALYSIS II
I	ENGRMAE 30	LEC	A	4.0	17920	Sun	Tu 8:00PM- 9:50PM	ON LINE	STATICS (On-Line)
I	ENGRMAE 52	LEC	A	4.0	17940	Noroozi	MW 1:00PM- 3:50PM	SE2 1306	COMPUTER AIDED DESN
I	ENGRMAE 80	LEC	A	4.0	17950	Fardadi	 	@ @	DYNAMICS (On-Line)
I	AFAM 40B	LEC	A	4.0	20210	Garden	MW 1:00PM- 3:50PM	HH 254	AFRICAN AMERICAN II
I	ART HIS 46	LEC	A	4.0	21020	Depierro	 	@ @	INTRO EGYPT ARCH/AR (On-Line)
I	ASIANAM 52	LEC	A	4.0	21510	Lee	MW 9:00AM-11:50AM	ON LINE	ASAM COMMUNITIES (On-Line)
I	CLASSIC 45A	LEC	A	4.0	22210	Giannopoulou	 	@ @	THE GODS (On-Line)
I	CLASSIC 45B	LEC	A	4.0	22230	Karanika	 	@ @	THE HEROES (On-Line)
I	COM LIT 10	LEC	A	4.0	22710	Lee	 	@ @	PACIFIC CURRENTS (On-Line)
I	ENGLISH 12	LEC	A	4.0	23330	Geraci	TuTh 9:00AM-11:50AM	ON LINE	YOUNG ADULT FICTION (On-Line)
