subject_group,subj_area_cd,source_label,source_crs_catlg_no,source_class_no,section_id,Term,SubjectAreaCode,CatalogNumber,IsRoot,SessionGroup,ClassNumber,SequenceNumber,Path,MultiListedClassFlag,Token,days,time,location,has_course_summary_data
,BIOENGR,596 - Directed Individual or Tutorial Studies,0596,%,,261,BIOENGR,0596    ,,A8,%,,BIOENGR0596    A8,n,,,,,0
,C&EE,M20 - Introduction to Computer Programming with MATLAB,0020  M,%,147060910_C&EE0020  M A8,261,C&EE   ,0020  M ,False,, 880  ,1,147060910_C&EE0020  M A8,n,MDAyMCAgTSAxNDcwNjA5MTBfQyZFRTAwMjAgIE0gQTg=,,,Online - Asynchronous,1
,C&EE,103 - Applied Numerical Computing and Modeling in Civil and Environmental Engineering,0103,%,147318910_C&EE0103    A8,261,C&EE   ,0103    ,False,, 880  ,1,147318910_C&EE0103    A8,n,MDEwMyAgICAxNDczMTg5MTBfQyZFRTAxMDMgICAgQTg=,,,Online - Asynchronous,1
,C&EE,108 - Introduction to Mechanics of Deformable Solids,0108,%,147348910_C&EE0108    A8,261,C&EE   ,0108    ,False,, 880  ,1,147348910_C&EE0108    A8,n,MDEwOCAgICAxNDczNDg5MTBfQyZFRTAxMDggICAgQTg=,,,Online - Asynchronous,1
,C&EE,110 - Introduction to Probability and Statistics for Engineers,0110,%,147360910_C&EE0110    A8,261,C&EE   ,0110    ,False,, 880  ,1,147360910_C&EE0110    A8,n,MDExMCAgICAxNDczNjA5MTBfQyZFRTAxMTAgICAgQTg=,,,Online - Asynchronous,1
,C&EE,153 - Introduction to Environmental Engineering Science,0153,%,147614110_C&EE0153    A8,261,C&EE   ,0153    ,False,, 880  ,0,147614110_C&EE0153    A8,n,MDE1MyAgICAxNDc2MTQxMTBfQyZFRTAxNTMgICAgQTg=,,,Online - Asynchronous,1
,C&EE,188 - Geographic Information Systems for Engineering Applications,0188, 880  ,147828910_C&EE0188    A8,261,C&EE   ,0188    ,False,, 880  ,1,147828910_C&EE0188    A8,n,MDE4OCAgICAxNDc4Mjg5MTBfQyZFRTAxODggICAgQTg=,,,Online - Asynchronous,1
,C&EE,188 - Special Courses in Civil and Environmental Engineering,0188,%,147828910_C&EE0188    A8,261,C&EE   ,0188    ,False,, 880  ,1,147828910_C&EE0188    A8,n,MDE4OCAgICAxNDc4Mjg5MTBfQyZFRTAxODggICAgQTg=,,,Online - Asynchronous,1
,C&EE,296 - Advanced Topics in Civil Engineering,0296,%,,261,C&EE,0296    ,,A8,%,,C&EE0296    A8,n,,,,,0
,CLASSIC,"47 - Medical Terminology: Origins, Nature, and Practice",0047,%,148082110_CLASSIC0047    A8,261,CLASSIC,0047    ,False,, 001  ,0,148082110_CLASSIC0047    A8,n,MDA0NyAgICAxNDgwODIxMTBfQ0xBU1NJQzAwNDcgICAgQTg=,,,Online - Asynchronous,1
,COM HLT,400 - Field Studies in Public Health,0400,%,,261,COM HLT,0400    ,,A8,%,,COMHLT0400    A8,n,,,,,0
,COM SCI,31 - Introduction to Computer Science I,0031,%,187093910_COMSCI0031    A8,261,COM SCI,0031    ,False,, 001  ,1,187093910_COMSCI0031    A8,n,MDAzMSAgICAxODcwOTM5MTBfQ09NU0NJMDAzMSAgICBBOA==,,,Online - Asynchronous,1
