과목명,과목번호,이수학점,교수명,시작시간,종료시간,날짜
Elementary Arabic,ARABIC 1A 001,5,Azza M Ahmad,01:00PM,02:59PM,"Jun 22, 2026 - Aug 14, 2026"
General Biology Lecture,BIOLOGY 1A 001,3,,12:30PM,01:59PM,"Jun 22, 2026 - Aug 14, 2026"
General Biology Laboratory,BIOLOGY 1AL 001,2,Lorenzo Lones,09:30AM,10:59AM,"Jun 22, 2026 - Aug 14, 2026"
General Biology Lecture and Laboratory,BIOLOGY 1B 001,4,,12:30PM,01:59PM,"Jun 22, 2026 - Aug 14, 2026"
General Chemistry,CHEM 1A 001,3,Debjani Roy,08:00AM,09:29AM,"Jun 22, 2026 - Aug 14, 2026"
General Chemistry Laboratory,CHEM 1AL 001,2,Debjani Roy,11:00AM,11:59AM,"Jun 22, 2026 - Aug 14, 2026"
Chemical Structure and Reactivity,CHEM 3A 001,4,Peter C Marsden,09:30AM,10:59AM,"Jun 22, 2026 - Aug 14, 2026"
Organic Chemistry Laboratory,CHEM 3AL 001,2,Peter C Marsden,12:00PM,12:59PM,"Jun 22, 2026 - Aug 14, 2026"
Chemical Structure and Reactivity,CHEM 3B 001,4,,02:00PM,03:29PM,"Jun 22, 2026 - Aug 14, 2026"
Organic Chemistry Laboratory,CHEM 3BL 001,2,,12:00PM,12:59PM,"Jun 22, 2026 - Aug 14, 2026"
The Beauty and Joy of Computing,COMPSCI 10 001,4,,04:00PM,04:59PM,"Jun 22, 2026 - Aug 14, 2026"
The Structure and Interpretation of Computer Programs,COMPSCI 61A 001,4,,05:00PM,06:29PM,"Jun 22, 2026 - Aug 14, 2026"
Data Structures and Programming Methodology,COMPSCI 61BL 001,4,,09:00AM,09:59AM,"Jun 22, 2026 - Aug 14, 2026"
Great Ideas of Computer Architecture (Machine Structures),COMPSCI 61C 001,4,,02:00PM,03:29PM,"Jun 22, 2026 - Aug 14, 2026"
Discrete Mathematics and Probability Theory,COMPSCI 70 001,4,,12:30PM,01:59PM,"Jun 22, 2026 - Aug 14, 2026"
Foundations of Data Science,DATA C8 001,4,,11:00AM,11:59AM,"Jun 22, 2026 - Aug 14, 2026"
